erc_seq,erc_datetime,erc_addr,erc_amount,erc_idatetime,erc_iaddr,erc_memcode,erc_memid,erc_check,erc_hoocode,erc_idate,erc_odate,bit_sale_number,new_sale_number,erc_txid,erc_exchange,s_amount
1,2019-10-06 20:48:57.570,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.86567164,NULL,0x89b7d7d81ee9260e38f69e6f8e89c09be8b9e09f,0019100016,TEST1002,1,,20191006204857,20191007024857,2019100600001,2019100600001,0x133cbb028cb21a6qwer94b87fe54ce1672ee636b9622f08d26ed08f86836ae37,0.00134,100
2,2019-10-06 21:00:10.770,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.86567164,NULL,0x89b7d7d81ee9260e38f69e6f8e89c09be8b9e11f,0019100045,TEST1003,1,0019100016,20191006210010,20191007030010,2019100600002,2019100600002,0x133cbb028cb21a6zxcv94b87fe54ce1672ee636b9622f08d26ed08f86836ae37,0.00134,100
3,2019-10-06 21:41:24.340,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.86567164,NULL,0x89b7d7d81ee9260e38f69e6f8e89c09be8b9e11f,0019100045,TEST1003,1,,20191006214124,20191007034124,2019100600005,2019100600006,0x133cbb028cb21a6qazx94b87fe54ce1672ee636b9622f08d26ed08f86836ae37,0.00134,100
4,2019-10-06 21:52:42.263,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.86567164,NULL,0x0838De716F490a928abF362F8CEC9a3e8A44DFb1,0019100020,CHOCAPS31,2,,20191006215242,20191007035242,2019100600006,NULL,NULL,0.00134,100
5,2019-10-06 21:55:30.497,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.86567164,NULL,0x78D6CFa3a718780790Ef520729738A459092750D,0019100020,CHOCAPS31,0,,20191006215530,20191007035530,2019100600007,NULL,NULL,0.00134,100
6,2019-10-06 22:20:08.547,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.86567164,NULL,0x0838De716F490a928abF362F8CEC9a3e8A44DFb1,0019100019,CHOCAPS30,1,0019043523,20191006222008,20191007042008,2019100600008,2019100700001,0x0fc4f71a56b792e905b548fd4b1e9bf97dfddcf5b52aff1f12e9c9a74dcec07a,0.00134,100
7,2019-10-06 22:37:30.360,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,74626.8657,NULL,0x89b7d7d81ee9260e38f69e6f8e89c09be8b9e11f,0019100045,TEST1003,1,,20191006223730,20191007043730,2019100600009,2019100600007,0x133cbb028cb21a6idhjf94b87fe54ce1672ee636b9622f08d26ed08f86836ae37,0.00134,100
8,2019-10-07 01:38:23.680,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,80000,NULL,0x0838De716F490a928abF362F8CEC9a3e8A44DFb1,0019100047,CHOCAPS32,1,0019100020,20191007013823,20191007073823,2019100700001,2019100700001,0x1de3922d38b2e4e7d3c3b88cbebefdb31bea5424344bae7190ee7a35606f4ecb,0.00125,100
9,2019-10-07 02:29:26.153,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,80000,NULL,0x89b7d7d81ee9260e38f69e6f8e89c09be8b9e11f,0019100045,TEST1003,1,,20191007022926,20191007082926,2019100700003,2019100700006,0x133cbb028cb21a6pknt94b87fe54ce1672ee636b9622f08d26ed08f86836ae37,0.00125,100
10,2019-10-07 13:17:31.850,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,800000,NULL,0x1049B95f2d6b2BF0da9b1f4F9a9a7450775fA154,0019040630,SK1319,2,,20191007131731,20191007191731,2019100700008,NULL,NULL,0.00125,1000
11,2019-10-07 13:25:20.150,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,800000,NULL,0x1049B95f2d6b2BF0da9b1f4F9a9a7450775fA154,0019040630,SK1319,2,,20191007132520,20191007192520,2019100700009,NULL,NULL,0.00125,1000
12,2019-10-10 11:13:49.197,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,1000000,NULL,fdsfdsfdsfdvrevervrfvg,0019051196,CHOCAPS12,0,,20191010111349,20191010171349,2019101000001,NULL,NULL,0.001,1000
13,2019-10-10 12:35:41.470,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,917431.1927,NULL,0xb19548B31f4dD5F18e0Ef83cc20767914CC370ae,0019071823,SYA5405,0,,20191010123541,20191010183541,2019101000002,NULL,NULL,0.00109,1000
14,2019-10-10 18:52:49.633,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,217391.3043,NULL,0xddEC01048Fa91e557508d325F237678199AA6eaA-new6160,0019100061,LGSN70572,0,,20191010185249,20191011005249,2019101000005,NULL,NULL,0.00092,200
15,2019-10-10 18:56:25.183,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,300000,NULL,0xddEC01048Fa91e557508d325F237678199AA6eaA-new6160,0019080086,LJTS73593,0,,20191010185625,20191011005625,2019101000006,NULL,NULL,0.001,300
16,2019-10-10 18:57:45.457,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,100000,NULL,0xddEC01048Fa91e557508d325F237678199AA6eaA-new6160,0019090316,LJMH78563,0,,20191010185745,20191011005745,2019101000007,NULL,NULL,0.001,100
17,2019-10-14 15:56:52.150,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,909090.9091,NULL,0xd3d8Cd63Dfcb3D6432B5f02B86D7A27a5450e7Ee,0019070699,DWKS535,2,,20191014155652,20191014215652,2019101400001,NULL,NULL,0.0011,1000
18,2019-10-14 17:40:20.213,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,90909.0909,NULL,0xC81678416c42e6246bC9B353FE614607A2a3e0A4,0019051869,HJB0022,0,,20191014174020,20191014234020,2019101400002,NULL,NULL,0.0011,100
19,2019-10-14 19:11:30.820,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,909090.9091,NULL,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,0019100107,POH0069,2,0019040062,20191014191130,20191015011130,2019101400004,NULL,NULL,0.0011,1000
20,2019-10-14 19:24:04.123,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,909090.9091,NULL,0xB93d3c1FCDF528756A7442631d6C51A80B511C86,0019100107,POH0069,2,0019040062,20191014192404,20191015012404,2019101400005,NULL,NULL,0.0011,1000
21,2019-10-16 16:28:35.677,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,917431.1927,NULL,0x8e7D4eA685C84f474e766e0b4EB22C8493fD52bA,0019071848,CGIM9666,0,,20191016162835,20191016222835,2019101600002,NULL,NULL,0.00109,1000
22,2019-10-17 17:40:13.640,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,990099.0099,NULL,0xB93d3c1FCDF528756A7442631d6C51A80B511C86,0019100107,POH0069,2,0019040062,20191017174013,20191017234013,2019101700001,NULL,NULL,0.00101,1000
23,2019-10-17 19:00:59.947,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,98039.2157,NULL,0xddEC01048Fa91e557508d325F237678199AA6eaA,0019100072,TEST1009,1,,20191017190059,20191018010059,2019101700004,2019101700005,trans20191017190449,0.00102,100
24,2019-10-17 19:10:19.757,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,490196.0784,NULL,0xddEC01048Fa91e557508d325F237678199AA6eaA,0019100072,TEST1009,1,,20191017191019,20191018011019,2019101700005,2019101700006,trans20191017191038,0.00102,500
25,2019-10-17 19:22:17.760,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,98039.2157,NULL,0xddEC01048Fa91e557508d325F237678199AA6eaA,0019100119,TEST1017,1,0019100072,20191017192217,20191018012217,2019101700006,2019101700007,trans20191017192236,0.00102,100
26,2019-10-21 18:41:14.203,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,1063829.7872,NULL,0xB93d3c1FCDF528756A7442631d6C51A80B511C86,0019100107,POH0069,1,0019040062,20191021184114,20191022004114,2019102100003,2019102100009,trans20191021185437,0.00094,1000
27,2019-10-31 12:13:07.300,0x4Cead48cEf0d1B136e9937DC2Ed969318Dd2Ce31,1162790.6977,NULL,0xd3d8Cd63Dfcb3D6432B5f02B86D7A27a5450e7Ee,0019070699,DWKS535,0,,20191031121307,20191031181307,2019103100002,NULL,NULL,0.00086,1000
